label,index,middle,ring
YES,95,89,100
YES,95,88,100
YES,100,89,100
YES,100,91,100
YES,100,92,100
YES,100,91,100
YES,100,91,100
YES,100,91,100
YES,97,91,100
YES,100,93,100
YES,100,93,100
YES,97,92,100
YES,92,92,100
YES,100,100,100
YES,100,98,100
YES,100,89,100
YES,100,82,100
YES,100,74,100
YES,85,71,100
YES,95,75,100
YES,100,81,100
YES,100,86,100
YES,100,90,100
YES,100,92,100
YES,100,90,100
YES,100,85,100
YES,95,75,100
YES,85,74,100
YES,90,80,100
YES,95,86,100
YES,97,90,100
YES,100,92,100
YES,97,90,100
YES,85,85,100
YES,70,75,100
YES,92,73,100
YES,100,80,100
YES,100,83,100
YES,100,86,100
YES,100,89,100
YES,100,88,100
YES,100,84,100
YES,100,75,100
YES,95,72,100
YES,97,79,100
YES,100,84,100
YES,97,89,100
YES,100,92,100
YES,100,91,100
YES,97,86,100
YES,87,77,100
YES,85,70,100
YES,92,76,100
YES,100,83,100
YES,100,86,100
YES,100,89,100
YES,100,89,100
YES,100,89,100
YES,97,83,100
YES,82,74,100
YES,100,74,100
YES,100,79,100
YES,100,84,100
YES,100,86,100
YES,100,87,100
YES,100,83,100
YES,92,75,100
YES,95,70,100
YES,100,77,100
YES,100,83,100
YES,100,87,100
YES,100,90,100
YES,100,91,100
YES,100,91,100
YES,100,86,100
YES,92,74,100
YES,100,72,100
YES,100,79,100
YES,100,84,100
YES,100,87,100
YES,100,88,100
YES,100,86,100
YES,100,79,100
YES,92,70,100
YES,97,75,100
YES,100,79,100
YES,100,82,100
YES,100,83,100
YES,100,80,100
YES,92,73,100
YES,92,72,100
YES,100,81,100
YES,100,89,100
YES,100,93,100
YES,100,96,100
YES,100,96,100
YES,100,96,100
YES,100,89,100
YES,95,80,100
YES,82,72,100
YES,87,78,100
YES,95,83,100
YES,97,86,100
YES,97,88,100
YES,100,86,100
YES,95,82,100
YES,90,72,100
YES,90,73,100
YES,97,80,100
YES,97,83,100
YES,100,87,100
YES,100,88,100
YES,100,86,100
YES,97,79,100
YES,90,70,100
YES,97,75,100
YES,100,82,100
YES,100,87,100
YES,100,89,100
YES,100,90,100
YES,100,89,100
YES,100,83,100
YES,92,74,100
YES,97,75,100
YES,100,80,100
YES,100,84,100
YES,100,87,100
YES,100,89,100
YES,100,88,100
YES,97,82,100
YES,90,72,100
YES,100,75,100
YES,100,79,100
YES,100,83,100
YES,100,84,100
YES,100,83,100
YES,95,79,100
YES,85,71,100
YES,80,72,100
YES,90,78,100
YES,97,83,100
YES,97,87,100
YES,100,89,100
YES,100,86,100
YES,90,77,100
YES,82,70,100
YES,90,79,100
YES,95,82,100
YES,100,85,100
YES,100,83,100
YES,100,82,100
YES,97,78,100
YES,100,71,100
YES,100,76,100
YES,100,81,100
YES,100,84,100
YES,100,84,100
YES,100,79,100
YES,90,72,100
YES,90,75,100
YES,92,78,100
YES,95,80,100
YES,92,80,100
YES,82,79,100
YES,80,77,100
YES,80,83,100
YES,85,89,100
YES,90,91,100
YES,87,91,100
YES,82,90,100
YES,75,86,100
YES,67,79,100
YES,77,72,100
YES,87,79,100
YES,92,84,100
YES,92,88,100
YES,90,89,100
